,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
84,CONV_2D,643,369664.0,0.030060759,0.00034197082,0.12035426,0.0009038069,0.10049192,-8,model_1/bnorm_47/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_47/Conv2D,25.6254396,0.29916217522773103
85,LEAKY_RELU,647,369664.0,0.01717992,-0.006124267,0.035681445,0.0003326725,0.05800693,-107,model_1/leaky_47/LeakyRelu,14.79176715,0.31443332613494007
86,CONV_2D,651,739328.0,0.026904678,-0.0003640093,0.14153059,0.00072401605,0.090803914,-18,model_1/bnorm_48/FusedBatchNormV3;model_1/conv_92/Conv2D;model_1/conv_48/Conv2D,23.15499807,0.2963258427304213
87,LEAKY_RELU,655,739328.0,0.016037745,-0.0038688716,0.034125566,0.00027222867,0.055465806,-110,model_1/leaky_48/LeakyRelu,14.143780529999999,0.29746892389345175
88,ADD,659,739328.0,0.0296114,-0.006417462,0.04895846,0.0009211212,0.09763443,-101,model_1/add_15/add,24.89677965,0.31085323674433796
89,CONV_2D,663,369664.0,0.029514771,0.0002152057,0.11917539,0.0008712121,0.09875911,-22,model_1/bnorm_50/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_50/Conv2D,25.18357305,0.298871691686807
90,LEAKY_RELU,667,369664.0,0.018256472,-0.005454911,0.03690609,0.00036313175,0.06168157,-111,model_1/leaky_50/LeakyRelu,15.72880035,0.3089418137444395
91,CONV_2D,671,739328.0,0.03090052,0.0008236376,0.13464248,0.0009555481,0.10442059,-7,model_1/bnorm_51/FusedBatchNormV3;model_1/conv_92/Conv2D;model_1/conv_51/Conv2D,26.62725045,0.29603300516145736
92,LEAKY_RELU,675,739328.0,0.01700847,-0.0061490447,0.03622678,0.0003271075,0.059713613,-107,model_1/leaky_51/LeakyRelu,15.226971315,0.30288091021334423
93,ADD,679,739328.0,0.030566908,0.0009859375,0.05636353,0.0009355107,0.102591544,-101,model_1/add_16/add,26.160843720000003,0.29813489697357604
94,CONV_2D,683,369664.0,0.02776177,7.791705e-05,0.10463649,0.0007707547,0.092881255,5,model_1/bnorm_53/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_53/Conv2D,23.684720024999997,0.29890282243259764
95,LEAKY_RELU,687,369664.0,0.014751091,-0.005678027,0.030802622,0.00024984087,0.049379088,-103,model_1/leaky_53/LeakyRelu,12.59166744,0.3201022134589258
96,CONV_2D,691,739328.0,0.07445225,0.000454308,0.2101505,0.005543368,0.2553149,21,model_1/bnorm_54/FusedBatchNormV3;model_1/conv_92/Conv2D;model_1/conv_54/Conv2D,65.1052995,0.2916155608389617
97,LEAKY_RELU,695,739328.0,0.034887727,-0.01975611,0.07025326,0.0016084099,0.12122571,-97,model_1/leaky_54/LeakyRelu,30.91255605,0.3308290458708385
98,ADD,699,739328.0,0.03852354,0.002929698,0.06619711,0.0014929915,0.13245608,-91,model_1/add_17/add,33.776300400000004,0.2917136622274472
