,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
86,CONV_2D,651,739328.0,0.029512877,-0.0003870043,0.14184985,0.0008711814,0.0998852,-8,model_1/bnorm_48/FusedBatchNormV3;model_1/conv_92/Conv2D;model_1/conv_48/Conv2D,25.470726,0.29549705280671756
87,LEAKY_RELU,655,739328.0,0.016706424,-0.006370605,0.035846487,0.0003196998,0.057522997,-107,model_1/leaky_48/LeakyRelu,14.668364235,0.3108348302170999
88,ADD,659,739328.0,0.023753585,-0.0031358048,0.042401228,0.000574371,0.079261094,-97,model_1/add_15/add,20.21157897,0.30236825233747855
89,CONV_2D,663,369664.0,0.031553242,0.00018651319,0.11349973,0.0009956845,0.105621755,-22,model_1/bnorm_50/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_50/Conv2D,26.933547524999998,0.29874971098700487
90,LEAKY_RELU,667,369664.0,0.019732915,-0.005747982,0.040725946,0.00042250712,0.066173285,-111,model_1/leaky_50/LeakyRelu,16.874187674999998,0.310623508956518
91,CONV_2D,671,739328.0,0.032485906,-0.00028992436,0.12585358,0.0010554466,0.11012062,-18,model_1/bnorm_51/FusedBatchNormV3;model_1/conv_92/Conv2D;model_1/conv_51/Conv2D,28.0807581,0.2950186590740608
92,LEAKY_RELU,675,739328.0,0.01896387,-0.005075387,0.041482043,0.00038546545,0.06747255,-110,model_1/leaky_51/LeakyRelu,17.20550025,0.29098165182694513
93,ADD,679,739328.0,0.02902469,-0.0009772606,0.058146488,0.0008434562,0.10029246,-101,model_1/add_16/add,25.5745773,0.28957627922027557
94,CONV_2D,683,369664.0,0.026597962,2.2634196e-05,0.107636094,0.00070749136,0.08821244,4,model_1/bnorm_53/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_53/Conv2D,22.4941722,0.30153014408334644
95,LEAKY_RELU,687,369664.0,0.013742261,-0.003508296,0.02812172,0.00020117442,0.04715896,-103,model_1/leaky_53/LeakyRelu,12.025534799999999,0.30076144308490704
