,name,mAP
440,"(36, 44, 61)",68.49804613191466
441,"(34, 44, 54)",68.57076323200359
442,"(18, 50, 73)",68.62605106611784
443,"(6, 42, 44)",68.28127460256533
444,"(5, 23, 42)",68.59828120055074
445,"(3, 41, 70)",68.52968570293449
446,"(21, 28, 65)",68.63442038806237
447,"(12, 33, 48)",68.73711402273803
448,"(19, 33, 42)",68.62472013004451
449,"(2, 47, 48)",68.6607462226538
450,"(25, 30, 31)",68.38785106536739
451,"(12, 21, 70)",68.72110875324626
452,"(17, 23, 66)",68.71791458183229
453,"(15, 27, 35)",68.70560668653768
454,"(1, 7, 48)",68.69884695094778
455,"(8, 39, 43)",68.60128815825821
456,"(40, 48, 64)",68.43119970189984
457,"(4, 9, 63)",68.74029116191338
458,"(19, 21, 64)",68.74437954041161
459,"(4, 48, 57)",68.79978450654919
460,"(38, 52, 68)",68.70612109665566
461,"(23, 32, 64)",68.7030880148645
462,"(3, 30, 37)",68.44003386456619
463,"(20, 25, 72)",68.46628660264874
464,"(16, 37, 67)",68.73588985928059
465,"(9, 10, 31)",68.61861958806318
466,"(48, 52, 58)",68.4817898868737
467,"(26, 28, 30)",68.50033763665222
468,"(13, 35, 36)",68.8006808607615
469,"(18, 25, 42)",68.44272534371977
470,"(3, 11, 33)",68.52272279066543
471,"(0, 49, 55)",68.73729332036716
472,"(0, 21, 26)",68.75285126454057
473,"(20, 43, 74)",68.58846412886827
474,"(21, 63, 73)",68.59914482892371
475,"(0, 63, 69)",68.80267129524617
476,"(1, 6, 52)",68.74823565310516
477,"(7, 9, 35)",68.59693472631052
478,"(9, 13, 65)",68.67517673738361
479,"(14, 30, 45)",68.23106212714
480,"(30, 48, 68)",68.61326183155077
481,"(7, 11, 59)",68.79469515785932
482,"(31, 49, 60)",68.87313598953196
483,"(27, 49, 67)",68.8628891749766
484,"(14, 49, 53)",68.779995558785
485,"(6, 9, 32)",68.57893902864599
486,"(14, 46, 69)",68.6223231891359
487,"(10, 50, 70)",68.63470330808109
488,"(1, 8, 33)",68.55870922743402
489,"(31, 40, 70)",68.54022976903245
490,"(3, 5, 11)",68.49305580291065
491,"(34, 40, 45)",68.14178385337708
492,"(13, 14, 72)",68.70872950478159
493,"(17, 37, 62)",68.69938066067405
494,"(4, 72, 74)",68.835806997146
495,"(6, 28, 53)",68.48794616153275
496,"(24, 47, 53)",68.62790953114484
497,"(9, 39, 40)",68.34483562251232
498,"(15, 54, 60)",68.78492605972612
499,"(52, 61, 74)",68.72217405467413
500,"(37, 58, 71)",68.50378567516326
501,"(34, 36, 74)",68.74455808049052
502,"(64, 65, 74)",68.69309447959114
503,"(9, 32, 69)",68.64203829056204
