,0
1197,68.72831531226632
1198,68.55392922373605
1199,68.56691033745656
1200,68.66941542747979
1201,68.74290907259642
1202,68.79879076581132
1203,68.33844839961044
1204,68.5170436269418
1205,68.52430918178534
1206,68.67222069479058
1207,68.63420757997962
1208,68.59974968912846
1209,68.42481193941356
1210,68.47889004589814
1211,68.2270663826396
1212,68.58298134516801
1213,68.74048848495511
1214,68.74191734891656
1215,68.36082298041771
1216,68.79716879602287
1217,68.59078664686636
1218,68.5001416045208
1219,68.6679648021243
1220,68.45319378668023
1221,68.7824905619579
1222,68.65242689249594
1223,68.681752943707
1224,68.77884294060429
1225,68.67291301584419
1226,68.32559139455078
1227,68.55187314777599
1228,68.60813424676412
1229,68.4765215310062
1230,68.50229420562715
1231,68.66652138854845
1232,68.44390835960536
1233,68.8108982209905
1234,68.76066203094663
1235,68.63954698648381
1236,68.69413731581795
1237,68.61431564385953
1238,68.7486903275659
1239,68.62617706450553
1240,68.72341410980567
1241,68.50913362998163
1242,68.73153776587795
1243,68.46399193979546
1244,68.59672488485562
1245,68.81119316885946
1246,68.82471372591236
1247,68.61984697366161
1248,68.5009420304334
1249,68.69877189234951
1250,68.66508055309865
1251,68.32096531425134
1252,68.73582188108877
1253,68.77567807787884
1254,68.64431721863662
1255,68.74048057849748
1256,68.72641945160089
1257,68.65075338347452
1258,68.54285276211952
1259,68.73899089750338
1260,68.61952936857135
1261,68.51361294742657
1262,68.58724858373783
1263,68.64785214112071
1264,68.68940776098944
1265,68.69226760235104
1266,68.65282918036868
1267,68.75400754851552
1268,68.53642358082604
1269,68.7872652322888
1270,68.679835896095
1271,68.4845161279996
1272,68.46575855671163
1273,68.17685350707174
1274,68.92308435624763
1275,68.62865337254759
1276,68.69379135427045
